text,date,group,neg,neu,pos,compound,sentiment_cat
,2016-09-24 18:33:58+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 00:29:47+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 00:31:54+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 00:35:56+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 00:37:36+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 00:46:56+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 01:02:00+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 01:20:17+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-25 01:20:42+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 11:03:35+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 11:08:56+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 11:09:13+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 11:10:09+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 11:10:45+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 18:16:04+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 20:36:45+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 20:42:48+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 20:45:59+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-27 20:55:15+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-28 11:05:24+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-09-28 12:13:57+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-10-04 12:05:08+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-10-04 12:14:29+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-10-26 10:55:45+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-10-26 22:49:31+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-10-26 22:52:44+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-11-02 13:58:13+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-11-02 14:13:05+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-11-18 15:09:00+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-11-20 00:29:55+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-11-20 00:57:56+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-11-20 01:04:58+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-12-21 20:49:00+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-12-21 20:49:16+00:00,before,0.0,0.0,0.0,0.0,neutral
This looks great! I just have one nit. Thank you! :-),2016-12-21 20:49:34+00:00,before,0.0,0.458,0.542,0.8585,positive
,2017-01-03 22:47:20+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-03 23:12:01+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-04 00:04:30+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-05 03:15:11+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-05 23:57:39+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-06 00:00:41+00:00,before,0.0,0.0,0.0,0.0,neutral
"This looks fantastic! Thank you so much! I have just a couple of minor nits, but this should otherwise be good to go. :D",2017-01-06 00:01:07+00:00,before,0.0,0.588,0.412,0.9329,positive
LGTM. Thanks!,2017-01-17 15:42:20+00:00,before,0.0,0.239,0.761,0.4926,positive
Ah thanks for catching this! This does appear to be a bug. I think you just need to fix the compile error and this should be good to go. Thanks!,2017-01-29 15:37:52+00:00,before,0.071,0.684,0.244,0.7639,positive
,2017-01-29 15:52:30+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-30 21:58:53+00:00,before,0.0,0.0,0.0,0.0,neutral
"@pkgw OK, this looks much better, thank you. :-) And a major thanks for staying patient with me!

I think this looks good to go, but I would like to see this squashed down to one commit before merging. :-)",2017-02-09 19:36:31+00:00,before,0.0,0.631,0.369,0.9402,positive
,2017-02-09 20:10:13+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-02-18 16:41:19+00:00,before,0.0,0.0,0.0,0.0,neutral
"The overall approach looks OK, but I have several nits, and I do think tests are necessary before this can be merged.

I think something we need to think about are the likely features that will be requested as a result of this addition. I can imagine, for example, that some folks may not want to see the various ""ignored long line"" messages, might want to drop the long lines completely. We don't need to add that functionality in this PR, but if we did, how would it impact this feature?",2017-02-18 17:00:45+00:00,before,0.073,0.912,0.015,-0.6687,negative
"Sorry, but after thinking about this more, I can't merge this. I tried it out myself locally, and I can see a very small runtime difference. But the added compile time isn't even close to worth it. With LTO enabled, a re-compile of ripgrep takes >70 seconds, but without LTO, a re-compile takes <25 seconds. Huge difference. This isn't a reasonable increase because I frequently need to do cargo build --release during development.

If someone wanted this then I'd be open to adding it only in CI when the final release artifact is produced.",2017-02-18 17:10:34+00:00,before,0.036,0.91,0.054,0.4033,positive
,2017-02-19 22:17:24+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-02-19 22:31:23+00:00,before,0.0,0.0,0.0,0.0,neutral
Now LGTM. Merging.,2017-02-19 22:42:25+00:00,before,0.0,1.0,0.0,0.0,neutral
,2017-02-19 22:45:01+00:00,before,0.0,0.0,0.0,0.0,neutral
"@tiehuis Thanks! Overall this looks pretty good, but the duplication of the parsing routine ain't gunna fly. We really don't need the clap validator if we're also going to report an error when extracting the arguments in `args.rs`. I left a few other nits as well, but the other important change is that we cannot call `metadata` unconditionally on every single file. It would slow down iteration way too much even when you don't use the `--max-filesize` flag.",2017-02-28 12:12:34+00:00,before,0.081,0.806,0.114,-0.1635,negative
Looks perfect! Thanks so much. :-),2017-03-08 15:13:24+00:00,before,0.0,0.241,0.759,0.858,positive
Fantastic. Thanks so much! Great work. :D,2017-03-08 15:17:01+00:00,before,0.0,0.165,0.835,0.9451,positive
"@jdhorwitz Could you please add `Fixes #394` to the commit message? Otherwise, this looks good to go, thanks!",2017-03-12 20:48:13+00:00,before,0.0,0.569,0.431,0.8622,positive
"@kpp Thanks so much! Sorry for the nit, but you could write `Fixes #419` in the commit message in a new line? I'm trying to keep commit messages formatted nicely.",2017-03-28 16:13:27+00:00,before,0.034,0.658,0.308,0.8861,positive
,2017-03-28 19:53:01+00:00,before,0.0,0.0,0.0,0.0,neutral
"I think I'm mostly in favor of the changes here, although I noted a couple places where an additional allocation was added.

If you think you fixed bugs in the printer, then I think we need at least one regression test for each bug.

Finally, I'm not totally sold on adding colors for columns and separators. It seems a bit much, although, I suppose it's not a big deal. See #377.",2017-03-30 19:54:03+00:00,before,0.0,0.963,0.037,0.4019,positive
,2017-03-30 20:28:50+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:31:50+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:33:21+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:46:13+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:55:22+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:55:53+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:56:27+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 20:57:27+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 21:02:10+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 21:03:56+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 21:05:11+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 21:07:02+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-30 23:12:54+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-31 13:56:35+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-31 13:57:02+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-31 17:05:24+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-31 17:06:01+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-31 18:44:03+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-03-31 19:56:03+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-01 05:48:52+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-01 06:20:11+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-03 05:40:58+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-03 05:42:10+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-03 06:12:49+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-03 06:12:58+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-03 16:45:37+00:00,before,0.0,0.0,0.0,0.0,neutral
"Thanks for this! This looks great. My only request is that we get rid of the macro. See the comments. :-)

I'd also argue that if overflow occurs, it should return an error to the user. But that doesn't need to be solved in this PR. Saturating is better than what we were doing. :-) Thanks for that!",2017-04-09 12:31:51+00:00,before,0.049,0.675,0.276,0.9476,positive
,2017-04-11 16:06:32+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-12 06:57:47+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-12 09:57:03+00:00,before,0.0,0.0,0.0,0.0,neutral
