Topic,Count,Name,Representation,Representative_Docs
-1,3197,-1_testing_summary_add_and,"['testing', 'summary', 'add', 'and', 'the', 'fails', 'in', 'for', 'test', 'to']","['bump the nuget group with 1 update pinned microsoft build tasks core at 17 12 35 dependabot compatibility score dependabot will resolve any conflicts with this pr as long as you don t alter it yourself you can also trigger a rebase manually by commenting dependabot automerge start dependabot automerge end details summary dependabot commands and options br you can trigger dependabot actions by commenting on this pr will rebase this pr will recreate this pr overwriting any edits that have been made to it will merge this pr after your ci passes on it will squash and merge this pr after your ci passes on it will cancel a previously requested merge and block automerging will reopen this pr if it is closed will close this pr and stop dependabot recreating it you can achieve the same result by closing it manually will show all of the ignore conditions of the specified dependency will close this group update pr and stop dependabot creating any more for the specific dependency s major version unless you unignore this specific dependency s major version or upgrade to it yourself will close this group update pr and stop dependabot creating any more for the specific dependency s minor version unless you unignore this specific dependency s minor version or upgrade to it yourself will close this group update pr and stop dependabot creating any more for the specific dependency unless you unignore this specific dependency or upgrade to it yourself will remove all of the ignore conditions of the specified dependency will remove the ignore condition of the specified dependency and ignore conditions you can disable security fix prs for this repo from the security alerts page', 'bump log4j core from 2 17 0 to 2 17 1 bumps log4j core from 2 17 0 to 2 17 1 dependabot compatibility score dependabot will resolve any conflicts with this pr as long as you don t alter it yourself you can also trigger a rebase manually by commenting dependabot automerge start dependabot automerge end details summary dependabot commands and options br you can trigger dependabot actions by commenting on this pr will rebase this pr will recreate this pr overwriting any edits that have been made to it will merge this pr after your ci passes on it will squash and merge this pr after your ci passes on it will cancel a previously requested merge and block automerging will reopen this pr if it is closed will close this pr and stop dependabot recreating it you can achieve the same result by closing it manually will close this pr and stop dependabot creating any more for this major version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this minor version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this dependency unless you reopen the pr or upgrade to it yourself will set the current labels as the default for future prs for this repo and language will set the current reviewers as the default for future prs for this repo and language will set the current assignees as the default for future prs for this repo and language will set the current milestone as the default for future prs for this repo and language you can disable security fix prs for this repo from the security alerts page', 'bump log4j api from 2 16 0 to 2 17 0 bumps log4j api from 2 16 0 to 2 17 0 dependabot compatibility score dependabot will resolve any conflicts with this pr as long as you don t alter it yourself you can also trigger a rebase manually by commenting dependabot automerge start dependabot automerge end details summary dependabot commands and options br you can trigger dependabot actions by commenting on this pr will rebase this pr will recreate this pr overwriting any edits that have been made to it will merge this pr after your ci passes on it will squash and merge this pr after your ci passes on it will cancel a previously requested merge and block automerging will reopen this pr if it is closed will close this pr and stop dependabot recreating it you can achieve the same result by closing it manually will close this pr and stop dependabot creating any more for this major version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this minor version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this dependency unless you reopen the pr or upgrade to it yourself will set the current labels as the default for future prs for this repo and language will set the current reviewers as the default for future prs for this repo and language will set the current assignees as the default for future prs for this repo and language will set the current milestone as the default for future prs for this repo and language you can disable security fix prs for this repo from the security alerts page']"
0,551,0_dock_drag_window_tab,"['dock', 'drag', 'window', 'tab', 'docking', 'dockable', 'invalid', 'document', 'property', 'sample']","['wip fix rootdock defaultdockable update after global splittodock fix rootdock defaultdockable reference after splittodock operation problem when a dockable that is explicitly set as the of a is involved in a global docking operation that results in a split i e the is replaced by a new container the reference remains pointed to the old nested object upon serialization and subsequent deserialization this broken reference causes the entire layout to fail plan x explore repository structure and understand the codebase x build and run existing tests to verify working state x analyze the method in x implement fix to update when a dock is replaced x create test case to verify the fix x build and test to ensure no regressions x perform code review and security check changes made 1 modified added logic in the method to check if the dock being replaced is the of any ancestor and update it to point to the new layout container 2 added test case created test in to verify that the reference is correctly updated when a dock is replaced during a split operation implementation details the fix is minimal and surgical when replaces a dock with a new layout fallback path it now checks if the original dock was the of any ancestor if so it updates the reference to point to the new layout this ensures that serialization works correctly test results all 735 tests pass including the new test no regressions introduced the new test specifically validates the fix for the reported issue security summary the changes are safe and secure no user input is involved proper null checks are in place no external resources are accessed the change is minimal and focused on the specific issue start copilot coding suffix details summary original prompt this section details on the original issue you should resolve issue title rootdock defaultdockable is not updated after a global splittodock operation causing deserialization failure issue description when a dockable that is explicitly set as the of a is involved in a global docking operation that results in a split i e the is replaced by a new container in the parent s the reference remains pointed to the old nested object upon serialization and subsequent deserialization this broken reference causes the entire layout to fail steps to reproduce using dockmvvmsample 1 modify to use a flat structure replace the initialization logic in to make the direct and only visible dockable of the root 2 perform the global split grab any tool e g tool1 from the left panel by its tab header drag tool1 to the right edge of the window this operation causes the original to be replaced by a new container 3 save the layout 4 load the saved layout layout step 2 img width 402 height 938 alt image src img width 1200 height 680 alt image src layout step 4 img width 1200 height 680 alt image src maybe the fix should involve checking if the original dock was the defaultdockable of the parent ownerdock and if so updating the parent s defaultdockable reference to point to the new container comments on the issue you are copilot in this section comments fixes wieslawsoltes start copilot coding tips let copilot coding set things up for you tips 29 2e 0a 0a 3conboard 20this 20repo 3e assignees copilot coding works faster and does higher quality work when set up for your repo', 'add floating pinned window fixes summary introduce pinned dock window doc link describe create floating window content with update window size to match dockable and size to manual restore pinned dock grid visibility when closing hide pinned dock when host window moves keep dock splitter active when window is shown testing', 'wip add candockasdocument property to idockable interface implementation plan for candockasdocument property x explore repository structure and understand codebase x build and test the project to establish baseline add property to interface implement property in mvvm with default value implement property in all other dockablebase implementations dock avalonia dock caliburmicro dock inpc dock prism dock reactiveproperty dock reactiveui update method in to check the property create tests for the new functionality run tests to ensure all changes work correctly code review and security scan start copilot coding suffix details summary original prompt this section details on the original issue you should resolve issue title add candockasdocument to idockable issue description hi i would like to be able to prevent some dockables from being moved to the nearest document currently there is no simple way to disable this functionality comments on the issue you are copilot in this section comments fixes wieslawsoltes start copilot coding tips you can make copilot smarter by setting up custom instructions customizing its development environment and configuring context protocol mcp servers learn more copilot coding tips tips in the docs']"
1,361,1_cuda_gpu_precision_transformer,"['cuda', 'gpu', 'precision', 'transformer', 'kernels', 'cpu', 'matrix', 'matrices', 'fp16', 'gradient']","['add fp16 transformer gpu spec summary add a spec verifying transformer forward pass on cuda with fp16 precision testing', 'add precision specific cuda weight updates summary implement per precision gpu with cuda axpy variants and custom kernels handle cpu fallback when gpu routines are unavailable update matrixlayer gpu weight update for non fp64 weight decay expose new cuda wrappers and stub methods add fp16 weight update cuda kernels testing', 'implement cuda cross entropy kernel summary compute cross entropy loss and gradient in cuda kernels call cuda kernel from cudnn helpers implement softmax cross entropy via cuda kernel add spec covering gpu and cpu cases testing fails cannot find lcudnn lcudart']"
2,265,2_django_helpdesk_modulenotfounderror_templates,"['django', 'helpdesk', 'modulenotfounderror', 'templates', 'project', 'admin', 'template', 'dashboard', 'named', 'views']","['add event links on schedule summary highlight user s events on schedule link dates to calendar day view link titles to event detail link location and lead details testing fails modulenotfounderror no module named django', 'fix template filter in location form summary load at the start of so custom filters work testing fails modulenotfounderror no module named django', 'fix template checks for django 5 summary use in templates testing fails secret key not found']"
3,254,3_mvn_changelog_tests_found,"['mvn', 'changelog', 'tests', 'found', 'document', 'not', 'fails', 'test', 'add', 'collection']","['add tests for caseinsensitivestring summary add junit tests for and serialization document new tests in changelog testing failed mvn not found', 'add tests for collection conversion support summary add tests for document the new tests in testing fails not found', 'add test for values view summary add to cover the view document test addition in changelog testing fails mvn not installed']"
4,214,4_namespace_xml_forms_msbuild,"['namespace', 'xml', 'forms', 'msbuild', 'view', 'bind', 'default', 'pump', 'must', 'form']","['refactor quote creation into view summary extend with selected business customer and pump move quote creation duplicate check and export logic to the view bind combo boxes in to view selections and use view to save quotes testing fails the default xml namespace of the project must be the msbuild xml namespace', 'refactor forms to use navigation service summary inject into phone management forms call navigation methods instead of creating edit forms directly pass navigation service from when opening management forms testing fails default xml namespace of the project must be msbuild xml namespace', 'refactor form state into view summary move state management helpers from into add edit mode properties and commands expose a command in for loading a passed quote bind forms to the new view apis and remove obsolete handlers testing fails the default xml namespace of the project must be the msbuild xml namespace']"
5,164,5_telegram_bot_shared_photobank,"['telegram', 'bot', 'shared', 'photobank', 'pnpm', 'filter', 'command', 'vitest', 'photo', 'photos']","['refactor telegram bot config and cleanup summary remove unused command drop obsolete telegram filter tests share vitest config via new base file use shared vitest config for telegram bot and shared packages testing', 'fix telegram bot upload stream error summary use shared for telegram command testing', 'chore add node types to telegram bot summary add to telegram bot dev deps include node and vitest types in telegram bot testing fails cannot find type definition file for node in shared package']"
6,151,6_hrf_ar_implement_dsl,"['hrf', 'ar', 'implement', 'dsl', 'robust', 'installed', 'command', 'cfals', 'contrast', 'afni']","['implement cross reference validation for dsl summary add dsl 206 cross reference checks to warn on missing hrfs terms contrasts and add unit tests for hrf and term references testing fails command not found', 'implement sprint4 05r voxelwise robust ar notes added robust fitting support for voxelwise ar contrasts using the chunked engine new test ensures voxelwise ar1 works with robust weighting summary expanded to accept precomputed and robust weights enhanced with and irls fitting added for voxelwise ar robust path', 'add get hrf from dsl helper summary implement dsl2 201 helper add unit tests for hrf creation from dsl testing fails command not found']"
7,140,7_ipc_session_sqlite3_created,"['ipc', 'session', 'sqlite3', 'created', 'whois', 'better', 'webdriver', 'bulk', 'mismatch', 'fails']","['feat add ipc to delete config file summary add handler in the main process delete config via ipc in settings ui testing fails better sqlite3 binary mismatch fails webdriver session not created', 'feat use typed channels for bulk ipc summary expand ipc channel definitions for bulk whois refactor main and renderer to use typed ipc enum adjust unit tests for new channel names testing fails better sqlite3 module not built fails webdriver session not created', 'docs update ipc example summary update ipc example in md to use testing fails better sqlite3 node module version mismatch fails webdriver session not created']"
8,134,8_vcpkg_boost_windows_cmake,"['vcpkg', 'boost', 'windows', 'cmake', 'msvc', 'opencl', 'devin', 'configuration', 'build', 'linking']","['fix update windows toolchain and cmake configuration for proper boost detection fix windows boost configuration and cross compilation setup this pr updates the windows toolchain and cmake configuration to properly handle boost detection and cross compilation changes update boost configuration in toolchain windows cmake to use correct vcpkg paths modify vcpkg triplet to use static libraries for windows builds improve cmake boost detection logic fix vcpkg paths for windows cross compilation fix windows h includes to use lowercase for case sensitive environments update windows header includes in gc cpp and clgl h for cross compilation testing x windows header includes fixed for case sensitive environments x test executables successfully built activationfunctiontests exe 68mb multivalues test exe 66mb windows build with vcpkg dependencies boost package detection static library linking link to devin run', 'integrate vcpkg for dependency management integrate vcpkg for dependency management and implement github actions matrix summary of changes modified to enable vcpkg integration added updated to improve vcpkg usage and prevent unnecessary fetching configured the project to use vcpkg for managing dependencies implemented github actions matrix to test builds across multiple configurations build and test results implemented github actions matrix for testing across different os boost versions and opencl configurations encountered build failures on windows and ubuntu windows failed due to missing boost dependencies and opencl configuration issues ubuntu one test failed due to a memory access violation in the test successfully built on macos configurations vcpkg integration details the option is now explicitly set to on by default in cmakelists txt this ensures that vcpkg is used for dependency management unless explicitly disabled vcpkg is now used to manage project dependencies across all tested platforms next steps investigate and resolve windows build failures related to boost and opencl debug and fix the memory access violation in the test on ubuntu review the changes and provide feedback once issues are resolved re run the github actions workflow to ensure successful builds across all configurations merge the pr if the changes meet the project s requirements and all builds pass additional information this change was requested by serg link to devin run pr 304 in the ohhmm repository', 'fix improve windows build system configuration this pr improves the windows build system configuration by 1 updating vcpkg integration for proper boost dependency management 2 configuring cmake for consistent windows runtime library settings 3 adding proper vcpkg manifest mode support 4 improving windows ci workflow configuration changes updated cmakelists txt to properly handle vcpkg boost configuration added compiler support utilities for cross platform builds improved windows ci workflow to use vcpkg manifest mode added consistent runtime library settings testing verified vcpkg package installation confirmed cmake configuration with proper runtime settings tested windows ci workflow changes link to devin run']"
